include	namespace	category	chapter	source	states	tag	x	y	z
	Primary		20	history	Common_Done	Primary.020WelcomeBackToCigalo2b_TrainStop.HideSmokeOnVan			
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.NefleUnloading	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseAndNefleFixingVan_PartA	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseAndNefleFixingVan_PartB	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseAndNefleFixingVan_PartB2	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseCrashingVanAutoTrigger	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseCrashingVanPartA	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.RoseCrashingVanPartB	0	0	0
	Primary		20	history	Common_Done	Primary.020WelcomeBackToCigalo2b_TrainStop.SaugeFunny			
N	Primary	ambient		census		Primary.020WelcomeBackToCigalo2b_TrainStop.SaugeReminder_Selftalk	0	0	0
N	Primary	ambient		census		Primary.020WelcomeBackToCigalo2b_TrainStop.SelfTalk_SodaVendingMachine	106680	-34210	1070
	Primary		20	history	Common_Done	Primary.020WelcomeBackToCigalo2b_TrainStop.ShowSmokeOnVan			
N	Primary	ambient		census		Primary.020WelcomeBackToCigalo2b_TrainStop.TaxiDialogueA	0	0	0
N	Primary	ambient		census		Primary.020WelcomeBackToCigalo2b_TrainStop.TrainArrivalNefleDialogue	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.TrainStopToVillageTaxi	0	0	0
	Primary		30	history	Common_Done	Primary.030.StartSecondary			
	Primary		30	history	Upgrade_Unlocked	Primary.030GetTheTools3a_AntennaUnlocked.BuildAntenna			
	Primary			census		Primary.030GetTheTools3a_AntennaUnlocked.CepePassedOut	64432	-27363	761
	Primary			census		Primary.030GetTheTools3a_AntennaUnlocked.EndDemoFade	66849	-32948	1262
	Primary	scrap	30	history	Common_Done	Primary.030GetTheTools3a_AntennaUnlocked.EnoughScraps			
N	Primary	ambient		census		Primary.030GetTheTools3a_AntennaUnlocked.Fuscus_Ambiant	0	0	0
N	Primary	ambient		census		Primary.030GetTheTools3a_AntennaUnlocked.Hyla_Ambiant	69520	-43443	2880
	Primary		30	history	Common_Done	Primary.030GetTheTools3a_AntennaUnlocked.IntroducingNefleGarage			
N	Primary	ambient		census		Primary.030GetTheTools3a_AntennaUnlocked.Rana_Ambiant	0	0	0
	Primary	door/gate		census		Primary.030GetTheTools3a_AntennaUnlocked.SafranYuccaAsideOpenDoor	70322	-43060	1674
N	Primary	ambient		census		Primary.030GetTheTools3a_AntennaUnlocked.SelfTalk_Reneitos	72870	-44505	3030
	Primary		30	history	Common_Done	Primary.030GetTheTools3a_AntennaUnlocked.Start			
	Primary			census		Primary.030GetTheTools3a_AntennaUnlocked.TaxiToCepeSelfTak	67034	-33341	1262
	Primary		30	both	Upgrade_Unlocked	Primary.030GetTheTools3a_GrappleUnlocked.NefleGrappleReady	72867	-43229	1455
	Primary			census		Primary.030GetTheTools3a_Temporary.VanSpawnRose	88950	-71323	33
	Primary		30	history	Common_Done	Primary.040.OpenWorldOpened			
	Primary		30	history	Common_Done	Primary.040.StartSecondary			
	Primary	jammer	30	history	Common_Done	Primary.040AcquireGrapple.JammerBroken			
	Primary			census		Primary.040AcquireGrapple.OlivierAbricot	0	0	0
	Primary	door/gate		census		Primary.040AcquireGrapple.OpenVillageDoorTaxiSpline	70550	-42283	1337
	Primary			census		Primary.040AcquireGrapple.PreviewBuildEndInterlude	70125	-44630	-13735
	Primary			census		Primary.040AcquireGrapple.Safran	0	0	0
	Primary			census		Primary.040AcquireGrapple.Yucca	0	0	0
	Primary		50	history	Common_Done	Primary.050.SignalFound			
	Primary		30	history	Common_Done	Primary.050.StartSecondary			
	Primary	jammer		census		Primary.050DestroyAllJammers.AqueducTaxiSpline	70960	-42950	1290
	Primary	jammer		census		Primary.050DestroyAllJammers.Cepe_DestroyAllJammers	70981	-46128	2980
	Primary	jammer	50	history	Common_Done	Primary.050DestroyAllJammers.ControlRoomComputersA			
	Primary	jammer	50	history	Common_Done	Primary.050DestroyAllJammers.ControlRoomComputersB			
	Primary	jammer	50	history	Common_Done	Primary.050DestroyAllJammers.ControlRoomComputersD			
	Primary	jammer		census		Primary.050DestroyAllJammers.Curry_DestroyAllJammers	45540	9610	2640
	Primary	jammer	50	history	Common_Done	Primary.050DestroyAllJammers.HideVanNote			
	Primary	jammer		census		Primary.050DestroyAllJammers.LargeJammersRadius	29700	39920	520
	Primary	jammer		census		Primary.050DestroyAllJammers.NefleAtGarage_QE	72844	-43328	1455
	Primary	jammer		census		Primary.050DestroyAllJammers.NefleSauge_CommCenter	25029	41870	958
	Primary	jammer	30	history	Common_Done	Primary.050DestroyAllJammers.NomadCampFinished			
	Primary	jammer		census		Primary.050DestroyAllJammers.OlivierAbricot_DestroyAllJammers	92469	-61639	44
	Primary	jammer		census		Primary.050DestroyAllJammers.Orgeat_DestroyAllJammers	41360	9010	2230
	Primary	jammer		census		Primary.050DestroyAllJammers.Poto_TargetPoint_ST	25860	20490	-520
	Primary	jammer		census		Primary.050DestroyAllJammers.SelfTalk_Reneitos	36640	-31890	370
	Primary	jammer		census		Primary.050DestroyAllJammers.TaxiSpline_Trigger	0	0	0
	Primary	jammer		census		Primary.050DestroyAllJammers.TaxiSpline_TriggerB	0	0	0
	Primary	jammer		census		Primary.050DestroyAllJammers.TaxiSpline_TriggerC	0	0	0
	Primary		50	history	Common_Done	Primary.060.StartSecondary			
	Primary			census		Primary.060UnlockPulley.AccessKey_TP	58110	36280	5580
	Primary			census		Primary.060UnlockPulley.AllRobots_Reunion	52782	33884	1980
	Primary		50	history	Upgrade_Unlocked	Primary.060UnlockPulley.AntennaHackPylonsUpgrade			
	Primary			census		Primary.060UnlockPulley.CurryOptionalDLG_OrgeatSideQuest	0	0	0
	Primary			census		Primary.060UnlockPulley.DS_RoseDoubtSW	0	0	0
	Primary			census		Primary.060UnlockPulley.Hawking_UnlockPulley	0	0	0
	Primary			census		Primary.060UnlockPulley.LamarrQG	51607	35468	1978
N	Primary	ambient		census		Primary.060UnlockPulley.LaunchTuringDialogue_Trigger	56952	37080	2120
	Primary			census		Primary.060UnlockPulley.NearingAccessKey	57880	37540	4120
	Primary			census		Primary.060UnlockPulley.NefleAtGarage_QG	0	0	0
	Primary			census		Primary.060UnlockPulley.NefleTaxiQuest	0	0	0
	Primary			census		Primary.060UnlockPulley.Nostradamus_UnlockPulley	0	0	0
	Primary			census		Primary.060UnlockPulley.OrgeatConsortium	0	0	0
	Primary			census		Primary.060UnlockPulley.Poivron_MeetRobots	71450	-43590	1300
	Primary			census		Primary.060UnlockPulley.SafranNomads	0	0	0
N	Primary	ambient		census		Primary.060UnlockPulley.SelfTalk_ReneitosCaveStillClosed	0	0	0
	Primary			census		Primary.060UnlockPulley.TaggedVan_CleaningTogether	0	0	0
	Primary			census		Primary.060UnlockPulley.TaggedVan_Surprise	0	0	0
	Primary			census		Primary.060UnlockPulley.Turing_FirstMeet	52914	35388	2000
	Primary	collectible		census		Primary.060UnlockPulley.YuccaBaieFlowers	0	0	0
	Primary		70	history	Common_Done	Primary.070.StartSecondary			
	Primary	shop		census		Primary.070BuyCable.CinematicTrigger_Reineto	0	0	0
	Primary	shop		census		Primary.070BuyCable.ClementineAbricot_BuyCable	0	0	0
	Primary	collectible		census		Primary.070BuyCable.Connecto_AfterTetos	0	0	0
	Primary	shop		census		Primary.070BuyCable.Hawkins_BuyCable	0	0	0
	Primary	shop	70	history	Common_Done	Primary.070BuyCable.Is070Finished			
	Primary	shop		census		Primary.070BuyCable.Liberto_FirstMeet	0	0	0
	Primary	shop	30	history	Common_Done	Primary.070BuyCable.MeetReneitosFinished			
	Primary	shop		census		Primary.070BuyCable.NefleAtGarage	72795	-43399	1453
	Primary	shop		census		Primary.070BuyCable.NostradamusLamarr_BuyCable	0	0	0
	Primary	shop		census		Primary.070BuyCable.OlivierTuring_BuyCable	0	0	0
	Primary	shop		census		Primary.070BuyCable.Poivron_BuyCable	0	0	0
N	Primary	ambient		census		Primary.070BuyCable.Rose_BuyCable_Ambiant	0	0	0
	Primary	shop		census		Primary.070BuyCable.Safran_BuyCable	0	0	0
N	Primary	ambient		census		Primary.070BuyCable.SelfTalk_SaugeMemory	0	0	0
	Primary	shop	70	history	Common_Done	Primary.070BuyCable.Started			
N	Primary	ambient		census		Primary.070BuyCable.TriggerReineto_SaugeSelfTalk	0	0	0
	Primary	shop	70	both	Upgrade_Unlocked	Primary.070BuyCable.VanSpawn_TutoZipline	70885	-46448	773281
	Primary	shop		census		Primary.070BuyCable.YuccaBaie_BuyCable	0	0	0
	Primary	shop		census		Primary.070BuyCable.ZiplineTuto_MetaNefle	66333	-47329	772874
	Primary		70	history	Common_Done	Primary.080.StartSecondary			
	Primary			census		Primary.080HackAllComputers.AfterCinematic_Nefle	72864	-43201	1455
	Primary			census		Primary.080HackAllComputers.Cepe_HackAllComputers	70890	-46090	2980
	Primary			census		Primary.080HackAllComputers.ClemAbricotOlivier_HackAllComputers	74230	-43730	2980
	Primary			census		Primary.080HackAllComputers.Curry_HackAllComputers	45490	9650	2640
	Primary		70	history	Common_Done	Primary.080HackAllComputers.DelayNoReturn			
N	Primary	ambient		census		Primary.080HackAllComputers.Lamarr_Ambiant	70250	-45550	2980
	Primary	shop		census		Primary.080HackAllComputers.Nostradamus_BuyCable	0	0	0
	Primary			census		Primary.080HackAllComputers.Orgeat_HackAllComputers	41250	9010	2230
	Primary			census		Primary.080HackAllComputers.PoivronHawkins_HackAllComputers	46270	10630	2490
	Primary		70	history	Common_Done	Primary.080HackAllComputers.PowerCableTutoDone			
N	Primary	ambient		census		Primary.080HackAllComputers.Rana_Ambiant	70360	-44660	2980
	Primary			census		Primary.080HackAllComputers.SafranPoto_HackAllComputers	73130	-44240	2880
	Primary			census		Primary.080HackAllComputers.VanSpawnPoint	0	0	0
	Primary			census		Primary.080HackAllComputers.YuccaBaie_HackAllComputers	69700	-44050	2980
	Primary	door/gate		census		Primary.090FollowKea.BatteryVehiculeDoor	-155514	-115929	-9354
	Primary	door/gate		census		Primary.090FollowKea.DoorVehicle	-156410	-115626	-9375
	Primary			census		Primary.090FollowKea.EnteringBuilding	-164135	-105297	-8314
N	Primary	ambient		census		Primary.090FollowKea.GaranceShipDialogueScene	-164020	-94364	-9027
	Primary	door/gate	90	both	GrappableDoor_Broken	Primary.090FollowKea.GrappableDoor	-164999	-102808	-8876
	Primary			census		Primary.090FollowKea.InterludeExitStorm	-163239	-95702	-9365
	Primary			census		Primary.090FollowKea.KeaBeforeTunnel	30800	47290	-677
	Primary			census		Primary.090FollowKea.RoseAtVan_GiveHelp	72600	-45230	1300
	Primary			census		Primary.090FollowKea.RoseSaugeGaranceShip	-164277	-95999	-9411
	Primary			census		Primary.090FollowKea.SaugeCheckpoint	-164442	-96214	-9414
	Primary			census		Primary.090FollowKea.SuageTowerEntranceTP	25140	48420	504
	Primary			census		Primary.090FollowKea.VanCheckpointGaranceShip	-164200	-96239	-9414
	Primary		90	both	Energy_Activated|Energy_Deactivated|Energy_Hacked	Primary.090FollowKea.VehiclePlate	-156425	-116355	-9303
	Primary		90	history	Common_Done	Primary.100SaveNefle.EndSelfDestruct			
	Primary		10	history	Common_Done	Primary.Common.010End			
	Primary		20	history	Common_Done	Primary.Common.020End			
	Primary		30	history	Common_Done	Primary.Common.030End			
	Primary		30	history	Common_Done	Primary.Common.040End			
	Primary		50	history	Common_Done	Primary.Common.050End			
	Primary		50	history	Common_Done	Primary.Common.060End			
	Primary		70	history	Common_Done	Primary.Common.070End			
	Primary		70	history	Common_Done	Primary.Common.080End			
	Primary		90	history	Common_Done	Primary.Common.090End			
	Primary		90	history	Common_Done	Primary.Common.100End			
	Primary			census		Primary.Common.AbricotOlivierInsideHouse	75999	-43709	-15274
N	Primary	ambient		census		Primary.Common.BackFromAqueducVanDialogue	27177	32655	580
N	Primary	ambient		census		Primary.Common.BackFromAqueducVanDialogue2	29495	-13597	-857
	Primary			census		Primary.Common.CafeTrigger	69456	-44853	-13696
	Primary			census		Primary.Common.CepePassedOut	68811	-44552	-13740
	Primary		10	history	Common_Done	Primary.Common.ChapterChanged			
	Primary	scrap		census		Primary.Common.CheatScrapA	72506	-42936	724
	Primary	scrap		census		Primary.Common.CheatScrapB	72792	-42964	658
	Primary	scrap		census		Primary.Common.CheatScrapC	73109	-42938	658
	Primary	scrap		census		Primary.Common.CheatScrapD	73413	-42946	658
	Primary	scrap		census		Primary.Common.CheatScrapE	73694	-42931	658
N	Primary	ambient		census		Primary.Common.ControlRoomTopSandwitchSelfTalk	30971	41863	4117
	Primary			census		Primary.Common.NefleAqueducControlRoom	29114	38635	3159
	Primary			census		Primary.Common.NefleAtGarageWaitingSauge_DS	0	0	0
	Primary			census		Primary.Common.NefleControlRoomLookAtScreen	29181	38630	3159
	Primary			census		Primary.Common.NefleSaugeAqueduc	28832	38887	3759
	Primary			census		Primary.Common.NefleSaugeOnBridge	72455	-44683	2880
	Primary			census		Primary.Common.NotifyPendingMessagesChapterBegginningTrigger	72124	-44120	2537
	Primary	door/gate		census		Primary.Common.OpenVillageDoorDialogue	70347	-42043	1319
	Primary			census		Primary.Common.RoseFrontHouse	90628	-72171	555
	Primary			census		Primary.Common.SafranLookingDesert	0	0	0
N	Primary	ambient		census		Primary.Common.SafranWatchingDialogueScene	0	0	0
	Primary			census		Primary.Common.SandwitchControlRoomTop	30489	42662	3958
	Primary			census		Primary.Common.SandwitchControlRoomTopTrigger	31161	42255	4056
	Primary			census		Primary.Common.SaugeRoomTrigger	68753	-45661	-13359
	Primary			census		Primary.Common.TaxiBackFromSignal	28820	36405	1012
	Primary	door/gate	30	history	Common_Done	Primary.Common.VillageDoorOpen			
	Primary	door/gate		census		Primary.Common.VillageDoorTrigger	70163	-41642	1300
	Primary			census		Primary.Common.VillageNomadsReunion	69465	-45531	-13757
	Secondary			census		Secondary.AbricotOlivierRattle.AbricotRequest	74520	-44010	2980
	Secondary			census		Secondary.AbricotOlivierRattle.AfterRattleQuest	74883	-44081	3408
	Secondary			census		Secondary.AbricotOlivierRattle.Beach_TP	92557	-59956	0
	Secondary			census		Secondary.AbricotOlivierRattle.Bridge_TP	72747	-44870	2880
Y	Secondary		30	both	Rattle_Collected	Secondary.AbricotOlivierRattle.ItemRattle	0	0	0
	Secondary			census		Secondary.AbricotOlivierRattle.OlivierWorried	74477	-43927	2977
	Secondary			census		Secondary.AbricotOlivierRattle.QG	74420	-44180	2980
Y	Secondary		30	history	Common_Done	Secondary.AbricotOlivierRattle.QuestDone			
	Secondary			census		Secondary.AbricotOlivierRattle.SaugeMemoryTrigger	93540	-59660	0
	Secondary		30	history	Common_Done	Secondary.AbricotOlivierRattle.StationYes			
	Secondary		30	history	Common_Done	Secondary.AperoQuest.AperoStarted			
	Secondary			census		Secondary.AperoQuest.AperoTP	70700	-45280	2980
	Secondary			census		Secondary.AperoQuest.FetchBread	72440	-42310	3000
	Secondary			census		Secondary.AperoQuest.FetchCheese	74420	-43640	2980
	Secondary			census		Secondary.AperoQuest.FetchSpread	70510	-44670	2980
	Secondary			census		Secondary.AperoQuest.IngredientsRadius	72685	-44680	2880
Y	Secondary		30	history	Common_Done	Secondary.AperoQuest.IsOver			
	Secondary			census		Secondary.AperoQuest.PotoApero	70742	-45905	2980
	Secondary			census		Secondary.AperoQuest.Talk_AbricotAndNefle	70035	-45103	2980
	Secondary			census		Secondary.AperoQuest.Talk_ClementineAndOlivier	70290	-45170	2980
	Secondary			census		Secondary.AperoQuest.Talk_SafranAndYucca	70320	-45560	2980
	Secondary			census		Secondary.AperoQuest.YuccaAtPlace_Hello	70935	-45563	2978
	Secondary			census		Secondary.BaieVehicleParts.ArriveAtPointC	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.AtNomadFire_TP	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.BaieQuestGiver_DS	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.BaieTalkAboutYucca_DS	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.BaieThanksSaugeParty	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.EndTaxiABaieClimbing	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.EndTaxiBBaieClimbing	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.EndTaxiDBackToNomadCamp_DS	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.EntTaxiBBaieRest	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.InterludeScene	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.PointABaieRest_DS	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.PointBLeave_DS	0	0	0
Y	Secondary		50	history	Common_Done	Secondary.BaieVehicleParts.QuestDone			
	Secondary		50	history	Common_Done	Secondary.BaieVehicleParts.QuestStart			
	Secondary			census		Secondary.BaieVehicleParts.TargetPointQuestArea	87423	-35439	2492
	Secondary			census		Secondary.BaieVehicleParts.TaxiBackToNomad	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineA_DLGA	49194	-2072	523
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineA_DLGB	63825	-21919	719
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineA_EndingPoint_Objective	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineB_DLGA	78218	-23924	616
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineB_EndingPoint_Objective	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineC_DLGA	77024	-23044	4408
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineC_EndingPoint_Objective	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineD_DLGA	91101	-21173	628
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineD_DLGB	80368	1211	483
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineD_DLGC	52769	15258	703
	Secondary			census		Secondary.BaieVehicleParts.TaxiSplineD_EndingPoint_Objective	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiToPointA	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiToPointB	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.TaxiToPointC	74090	-16650	4650
	Secondary		50	both	BuriedObject_Pulled	Secondary.BaieVehicleParts.VehiclePartA	88666	-33381	2456
	Secondary		50	both	BuriedObject_Pulled	Secondary.BaieVehicleParts.VehiclePartB	87014	-32602	2582
	Secondary		50	both	BuriedObject_Pulled	Secondary.BaieVehicleParts.VehiclePartC	87116	-37148	2557
	Secondary		50	both	BuriedObject_Pulled	Secondary.BaieVehicleParts.VehiclePartD	86752	-33506	2540
	Secondary			census		Secondary.BaieVehicleParts.YuccaArrive_DS	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.YuccaConfessAfterParty	0	0	0
	Secondary			census		Secondary.BaieVehicleParts.YuccaReadyForTaxi	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.ActivityChill	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.BeforeCelebrations	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.BeforeGoingBackToEstello	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.BeforePuzzle	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.CepeAtVillage	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.GoToSeedHideout	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.InterludeEndQuest	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.NomadArch_SaugeCommentary	0	0	0
Y	Secondary		70	history	Common_Done	Secondary.CepeRoadTrip.QuestDone			
	Secondary			census		Secondary.CepeRoadTrip.QuestEnding	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.QuestGiver_DLG	0	0	0
	Secondary		70	both	Seed_Collected	Secondary.CepeRoadTrip.SeedA	0	0	0
N	Secondary	ambient		census		Secondary.CepeRoadTrip.SelftalkTrigger	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.TP_Van_CepeRoadTrip	37645	-27640	-135
	Secondary			census		Secondary.CepeRoadTrip.TargetPointPinForest	-3756	-18252	3044
	Secondary			census		Secondary.CepeRoadTrip.TaxiA_TargetPoint	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.TaxiB_TP	0	0	0
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineA_DLGA	66510	-32112	1721
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineA_DLGB	44500	-7200	-255
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineA_DLGC	16095	-17206	-1748
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineB_DLGA	18392	-16131	-1672
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineB_DLGB	38685	-27066	392
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineB_DLGC	54713	-28589	809
	Secondary			census		Secondary.CepeRoadTrip.TaxiSplineBackToEstello	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.BackToEstello	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.ClementineAtEstello_Hello	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.ClementineReflecting	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.Departure	0	0	0
	Secondary		30	history	Common_Done	Secondary.ClementineWaterPressure.PumpRepaired			
	Secondary			census		Secondary.ClementineWaterPressure.QE	0	0	0
Y	Secondary		30	history	Common_Done	Secondary.ClementineWaterPressure.QuestDone			
	Secondary			census		Secondary.ClementineWaterPressure.RepairingPump_DS	0	0	0
	Secondary		30	history	Common_Done	Secondary.ClementineWaterPressure.Start			
	Secondary		30	history	Common_Done	Secondary.ClementineWaterPressure.StationYes			
	Secondary			census		Secondary.ClementineWaterPressure.TargetPoint_TaxiSpline_BackToEstello	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.TaxiBackSpline	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.TaxiGOSpline	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.TaxiSplineA_DLG1	63918	-27137	435
	Secondary			census		Secondary.ClementineWaterPressure.TaxiSplineB_DLG1	43305	-29970	-205
	Secondary			census		Secondary.ClementineWaterPressure.TaxiSplineB_DLG2	39090	-13515	1945
	Secondary			census		Secondary.ClementineWaterPressure.TaxiSplineB_DLG3	55249	-17474	-925
	Secondary			census		Secondary.ClementineWaterPressure.WaterPressureArrival	0	0	0
	Secondary			census		Secondary.ClementineWaterPressure.WaterPump_Target	0	0	0
	Secondary			census		Secondary.Common.LostNomadsChill	0	0	0
	Secondary			census		Secondary.Common.LostNomadsRepair	0	0	0
	Secondary		30	history	Common_Done	Secondary.CurryFood.CloseCurryAtCamp			
	Secondary			census		Secondary.CurryFood.CurryAtCamp_DLGScene	0	0	0
	Secondary			census		Secondary.CurryFood.DLG_Feast	0	0	0
Y	Secondary	collectible		census		Secondary.CurryFood.MallowA	92171	-40724	1782
Y	Secondary	collectible	30	both	Mallow_Collected	Secondary.CurryFood.MallowB	90441	-44172	1948
Y	Secondary	collectible	30	both	Mallow_Collected	Secondary.CurryFood.MallowC	82732	-50075	548
	Secondary	collectible		census		Secondary.CurryFood.MallowD	78572	-54967	1478
	Secondary	collectible	50	history	Common_Done	Secondary.CurryFood.MallowDone			
Y	Secondary	collectible	30	both	Mallow_Collected	Secondary.CurryFood.MallowE	79240	-60645	24
