id	name	apworld_chapter	kind	category
7681391	World.Desert_StormWall.Scrap_87	30	tag	scrap
7681381	World.Desert_StormWall.Scrap_178	30	tag	scrap
7681389	World.Desert_StormWall.Scrap_68	30	tag	scrap
7681375	World.Desert_StormWall.Scrap_01	0	tag	scrap
7681390	World.Desert_StormWall.Scrap_77	30	tag	scrap
7681373	World.Desert_StormWall.ScrapX	30	tag	scrap
7681614	Snack #7	30	pool	pool
7681363	World.Desert_StormWall.ScrapC	30	tag	scrap
7681379	World.Desert_StormWall.Scrap_168	30	tag	scrap
7681367	World.Desert_StormWall.ScrapP	30	tag	scrap
7681384	World.Desert_StormWall.Scrap_22	30	tag	scrap
7681376	World.Desert_StormWall.Scrap_02	30	tag	scrap
7681560	Clue #5	30	pool	pool
7681362	World.Desert_StormWall.ScrapAF	30	tag	scrap
7681297	World.Desert_NomadStand.VanJump2	90	tag	vanjump
7681298	World.Desert_NomadStand.VanJump3	90	tag	vanjump
7681223	World.Desert_ExcavationSite.ScrapB	30	tag	scrap
7681227	World.Desert_ExcavationSite.ScrapI	30	tag	scrap
7681228	World.Desert_ExcavationSite.ScrapJ	30	tag	scrap
7681233	World.Desert_ExcavationSite.Scrap_144	30	tag	scrap
7681248	World.Desert_ExcavationSite.Scrap_80	90	tag	scrap
7681229	World.Desert_ExcavationSite.Scrap_113	30	tag	scrap
7681243	World.Desert_ExcavationSite.Scrap_34	30	tag	scrap
7681246	World.Desert_ExcavationSite.Scrap_47	30	tag	scrap
7681235	World.Desert_ExcavationSite.Scrap_159	30	tag	scrap
7681239	World.Desert_ExcavationSite.Scrap_173	30	tag	scrap
7681251	World.Desert_ExcavationSite.Scrap_94	30	tag	scrap
7681226	World.Desert_ExcavationSite.ScrapF	0	tag	scrap
7681234	World.Desert_ExcavationSite.Scrap_151	30	tag	scrap
7681588	Plushy #5	30	pool	pool
7681244	World.Desert_ExcavationSite.Scrap_41	30	tag	scrap
7681232	World.Desert_ExcavationSite.Scrap_126	30	tag	scrap
7681247	World.Desert_ExcavationSite.Scrap_48	30	tag	scrap
7681236	World.Desert_ExcavationSite.Scrap_17	0	tag	scrap
7681242	World.Desert_ExcavationSite.Scrap_25	90	tag	scrap
7681238	World.Desert_ExcavationSite.Scrap_172	90	tag	scrap
7681250	World.Desert_ExcavationSite.Scrap_84	90	tag	scrap
7681241	World.Desert_ExcavationSite.Scrap_23	90	tag	scrap
7681230	World.Desert_ExcavationSite.Scrap_115	90	tag	scrap
7681240	World.Desert_ExcavationSite.Scrap_199	90	tag	scrap
7681231	World.Desert_ExcavationSite.Scrap_122	90	tag	scrap
7681245	World.Desert_ExcavationSite.Scrap_46	90	tag	scrap
7681249	World.Desert_ExcavationSite.Scrap_82	90	tag	scrap
7681237	World.Desert_ExcavationSite.Scrap_171	90	tag	scrap
7681225	World.Desert_ExcavationSite.ScrapD	30	tag	scrap
7681224	World.Desert_ExcavationSite.ScrapC	30	tag	scrap
7681222	World.Desert_ExcavationSite.ScrapA	30	tag	scrap
7681452	World.Plateau_TutoRuinOrdi.Scrap_01	70	tag	scrap
7681456	World.Plateau_TutoRuinOrdi.Scrap_46	70	tag	scrap
7681454	World.Plateau_TutoRuinOrdi.Scrap_155	70	tag	scrap
7681455	World.Plateau_TutoRuinOrdi.Scrap_175	70	tag	scrap
7681457	World.Plateau_TutoRuinOrdi.SitspotCepeQuest	70	tag	sitspot
7681424	World.Plateau_TowerRuin.RuinRadio	70	tag	collectible
7681615	Snack #8	30	pool	pool
7681449	World.Plateau_TowerRuinSurrounding.SmallScrapA	30	tag	scrap
7681252	World.Desert_ExcavationSite.Scrap_96	90	tag	scrap
7681404	World.Geocarriere_Hidden_Cache.SitSpot	90	tag	sitspot
7681542	World.SucculentForest_RuinEnergy.Jammer	30	tag	jammer
7681301	World.Desert_PotoGliderLevel.Scrap_47	30	tag	scrap
7681300	World.Desert_PotoGliderLevel.Scrap_162	30	tag	scrap
7681299	World.Desert_PotoGliderLevel.Scrap_16	30	tag	scrap
7681600	Sandwich Clue #4	50	pool	pool
7681616	Snack #9	30	pool	pool
7681541	World.SucculentForest_ReinetoEntrance.SitSpotChill	30	tag	sitspot
7681618	Teto #1	30	pool	pool
7681032	Primary.070BuyCable.MeetReneitosFinished	30	tag	shop
7681460	World.ReinetoCave.SmallRadio	30	tag	collectible
7681459	World.ReinetoCave.BigReinetoSitSpot	30	tag	sitspot
7681561	Clue #6	30	pool	pool
7681562	Clue #7	30	pool	pool
7681563	Clue #8	30	pool	pool
7681564	Clue #9	30	pool	pool
7681565	Clue #10	30	pool	pool
7681619	Teto #2	30	pool	pool
7681411	World.Guarrigue_RuinGrappleDoor.SmallScrapA	30	tag	scrap
7681410	World.Guarrigue_RuinGrappleDoor.Scrap_79	30	tag	scrap
7681589	Plushy #6	30	pool	pool
7681590	Plushy #7	30	pool	pool
7681591	Plushy #8	30	pool	pool
7681592	Plushy #9	30	pool	pool
7681593	Plushy #10	30	pool	pool
7681415	World.Guarrigue_RuinMain.FRM_Scrap_02	0	tag	scrap
7681412	World.Guarrigue_RuinMain.FMR_Scrap_03	0	tag	scrap
7681417	World.Guarrigue_RuinMain.SmallScrapC	0	tag	scrap
7681418	World.Guarrigue_RuinMain.SmallScrapH	0	tag	scrap
7681414	World.Guarrigue_RuinMain.FMR_Scrap_07	0	tag	scrap
7681413	World.Guarrigue_RuinMain.FMR_Scrap_06	0	tag	scrap
7681620	Teto #3	30	pool	pool
7681621	Teto #4	30	pool	pool
7681294	World.Desert_NomadCurryCamp.Scrap1	30	tag	scrap
7681594	Plushy #11	30	pool	pool
7681595	Plushy #12	30	pool	pool
7681596	Plushy #13	30	pool	pool
